Link,Title,Provider,Rating,Num_Reviewer,platform,subject,Entity,Reviewer_Status
/course/jamboard-tablero-virtual-para-sus-clases-interact-34146,Jamboard tablero virtual para sus clases interactivas,institution,0.0,165,coursera,education,project-network,ratings at Coursera
/course/math-mba-gmat-prep-34228,Math for MBA and GMAT Prep,university,4.0,119,coursera,education,emory,ratings at Coursera
/course/diversity-and-inclusion-education-48374,Diversity and Inclusion in Education,university,4.5,118,coursera,education,glasgow,ratings at Coursera
/course/interactive-choice-boards-with-seesaw-57260,Create Interactive Choice Boards with Seesaw,institution,0.0,219,coursera,education,project-network,ratings at Coursera
/course/use-genially-to-create-mind-maps-58721,Use Genially to Create Mind Maps,institution,0.0,94,coursera,education,project-network,ratings at Coursera
/course/building-scratch-and-read-activities-with-seesaw-58722,Building Scratch and Read Activities with Seesaw,institution,0.0,622,coursera,education,project-network,ratings at Coursera
/course/teaching-infographics-with-genially-58740,Teaching Infographics with Genially,institution,0.0,161,coursera,education,project-network,ratings at Coursera
/course/instructional-planning-with-genially-58743,Instructional Planning with Genially,institution,0.0,689,coursera,education,project-network,ratings at Coursera
/course/use-wakelet-to-curate-learning-collections-58745,Use Wakelet to Curate Learning Collections,institution,0.0,28,coursera,education,project-network,ratings at Coursera
/course/gamification-learning-with-genially-58747,Gamification Learning with Genially,institution,0.0,167,coursera,education,project-network,ratings at Coursera
/course/use-genially-to-create-award-certificates-58751,Use Genially to Create Award Certificates,institution,0.0,440,coursera,education,project-network,ratings at Coursera
/course/innovacion-educativa-55796,Innovación Educativa,university,5.0,51,coursera,education,tecdemonterrey,ratings at Coursera
/course/escola4pontozero-97269,Escola 4.0 Educação e Cultura Maker no Contexto da Nova BNCC,university,5.0,635,coursera,education,unicamp,ratings at Coursera
/course/carnet-interculturel-105181,Un carnet interculturel pour une mobilité universitaire,university,0.0,294,coursera,education,nanjing,ratings at Coursera
/course/wangluo-kecheng-xuexi-pingjia-5919,网络课程与学习评价,institution,0.0,49,coursera,education,googlecloud,ratings at Coursera
/course/googlecloud-managing-google-classroom-l5u28-74624,Managing Google Classroom,university,4.0,75,coursera,education,edhec,ratings at Coursera
/course/introduction-to-edtech-80056,Introduction to EdTech,university,5.0,20,coursera,education,asu,ratings at Coursera
/course/teaching-english-capstone-2-6234,Teach English Now! Capstone Project 2,university,5.0,183,coursera,education,illinois,ratings at Coursera
/course/multimodal-literacies-7057,Multimodal Literacies: Communication and Learning in the Era of Digital Media ,university,4.5,26,coursera,education,boulder,ratings at Coursera
/course/inclusive-design-11169,Basics of Inclusive Design for Online Education,university,4.5,634,coursera,education,illinois,ratings at Coursera
/course/constructivism-15205,"Constructivism and Mathematics, Science, and Technology Education",university,4.0,226,coursera,education,tsinghua,ratings at Coursera
/course/mooc-blended-learning-13846,MOOC and Blended Learning,university,5.0,195,coursera,education,boulder,ratings at Coursera
/course/blended-language-learning-design-practic-13862,Blended Language Learning: Design and Practice for Teachers,university,5.0,647,coursera,education,ub,ratings at Coursera
/course/innovacion-docencia-universitaria-13643,Claves para la innovación en la docencia universitaria,university,4.5,262,coursera,education,illinois,ratings at Coursera
/course/learning-technologies-foundations-applic-12877,Learning Technologies Foundations and Applications,university,5.0,108,coursera,education,umich,ratings at Coursera
/course/resilient-teaching-through-times-of-crisis-20104,Resilient Teaching Through Times of Crisis and Change,university,5.0,83,coursera,education,ucchile,ratings at Coursera
/course/formacion-docente-habilidades-siglo-veintiuno-20576,Formación docente basada en la práctica para desarrollar habilidades del siglo XXI,institution,0.0,46,coursera,education,project-network,ratings at Coursera
/course/teaching-epic-21300,Setting Up a Digital Library with EPIC,institution,0.0,123,coursera,education,project-network,ratings at Coursera
